,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,1,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,Zach Whitman -- 3sigmaathlete.com -- @zjwhitman,,,,,,,,,,,,,,
1,2,#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,Last Name,HT,WT,AL,HS,WING,40 YD,20 YD,10 YD,Shuttle,3-Cone,BP,Vert.,Broad
2,3,1,Devin Bush,LB09,ILB,Michigan,21.1,5110,234,144.0,2.0,97.5,Bush,5110,234,32.00,9.63,76.5,4.43,2.58,1.53,4.23,6.93,21,40.5,10.33
3,4,2,Devin White,LB41,ILB,LSU,21.5,6000,237,138.5,1.5,93.3,White,6000,237,32.13,9.75,75.875,4.42,2.58,1.56,4.17,7.07,22,39.5,9.83
4,5,3,Blake Cashman,LB10,OLB,Minnesota,23.3,6011,237,138.9,1.3,90.9,Cashman,6011,237,30.13,8.75,73.625,4.50,2.63,1.57,4.12,6.95,18,37.5,10.33
5,6,4,Ty Summers,LB35,ILB,TCU,23.7,6013,241,135.2,1.2,89.0,Summers,6013,241,31.50,10.00,76.875,4.51,2.68,1.60,,,27,36,10.25
6,7,5,Drue Tranquill,LB38,OLB,Notre Dame,24,6020,234,137.3,1.2,88.8,Tranquill,6020,234,31.50,9.75,74.25,4.57,2.65,1.59,4.14,6.94,31,37.5,10.17
7,8,6,Andrew Van Ginkel,LB39,OLB,Wisconsin,,6034,241,135.8,1.1,86.6,Van Ginkel,6034,241,32.50,9.38,77.375,4.59,2.52,1.62,4.14,6.89,17,38,10.25
8,9,7,Ulysees Gilbert III,,OLB,Akron,,6001,224,135.6,1.1,86.4,Gilbert III,6001,224,,,,4.51,2.58,1.51,4.43,7.03,20,39.5,10.5
9,10,8,Troy Reeder,,ILB,Delaware,,6010,235,132.9,1.0,84.9,Reeder,6010,235,,,,4.63,2.70,1.63,4.14,7.00,27,37.5,10.17
10,11,9,Ben Burr-Kirven,LB08,ILB,Washington,22,6000,230,132.7,1.0,84.6,Burr-Kirven,6000,230,31.88,8.88,74.375,4.56,2.67,1.55,4.09,6.85,21,34.5,10.08
11,12,10,Cameron Smith,LB34,ILB,Southern Cal,22.4,6020,238,131.1,0.9,81.3,Smith,6020,238,32.38,10.38,77,4.69,2.72,1.61,4.23,,15,39,10.25
12,13,11,Noah Dawkins,,OLB,Citadel,,6006,227,131.3,0.8,78.3,Dawkins,6006,227,,,,4.41,2.58,1.56,,,,31,10.42
13,14,12,Drew Lewis,,ILB,Colorado,,6022,229,129.5,0.8,77.5,Lewis,6022,229,,,,4.52,2.63,1.63,4.30,7.01,20,34,10.75
14,15,13,Taki Takitaki,LB36,OLB,BYU,,6011,238,130.2,0.7,75.9,Takitaki,6011,238,32.00,9.63,75.375,4.63,2.70,1.60,4.28,7.21,24,37,10.42
15,16,14,Tre Crawford,,OLB,UAB,,6013,228,129.6,0.7,74.6,Crawford,6013,228,,,,4.65,2.63,1.75,4.23,7.10,19,42,10.42
16,17,15,Justin Hollins,LB24,OLB,Oregon,,6052,248,129.4,0.6,74.2,Hollins,6052,248,33.38,10.38,79.5,4.50,2.66,1.63,4.40,7.06,25,36.5,9.92
17,18,16,Josh Watson,,OLB,Colorado State,,6007,231,128.4,0.6,71.6,Watson,6007,231,,,,4.70,2.72,1.62,4.32,7.09,20,36.5,10.83
18,19,17,Brandon Payer,,ILB,Colorado State-Pueblo,,6020,229,126.5,0.5,69.2,Payer,6020,229,,,,4.75,2.71,1.60,4.21,7.21,19,37,10.58
19,20,18,Cody Barton,LB07,ILB,Utah,24.1,6024,237,126.4,0.5,68.9,Barton,6024,237,31.88,9.25,76.25,4.64,2.71,1.61,4.03,6.90,30,32.5,9.67
20,21,19,Alex Figueroa,,OLB,Central Oklahoma,,6021,242,127.0,0.5,68.1,Figueroa,6021,242,,,,4.62,2.66,1.65,4.43,7.13,25,38,10.17
21,22,20,Dakota Allen,LB02,ILB,Texas Tech,23.8,6006,232,125.1,0.4,65.0,Allen,6006,232,31.25,9.25,74,4.77,2.77,1.61,4.04,6.88,23,34.5,9.92
22,23,21,Bobby Okereke,LB32,ILB,Stanford,,6013,239,124.1,0.3,61.8,Okereke,6013,239,34.50,10.13,82.625,4.58,2.67,1.61,4.26,7.25,,33.5,10.17
23,24,22,Tony Jones,,OLB,Texas Tech,,6010,232,124.4,0.3,61.3,Jones,6010,232,,,,4.72,2.74,1.60,4.15,7.04,23,35,10
24,25,23,Ryan Connelly,LB12,ILB,Wisconsin,23.9,6021,242,123.2,0.2,59.2,Connelly,6021,242,30.88,9.38,75,4.66,2.74,1.62,4.15,7.09,17,34.5,9.83
25,26,24,A.J. Hotchkins,,ILB,UTEP,,5105,234,122.7,0.2,57.4,Hotchkins,5105,234,,,,4.91,2.70,1.65,4.27,6.90,30,38,10
26,27,25,Quarte Sapp,,ILB,Tennessee,,6015,227,122.5,0.2,56.9,Sapp,6015,227,,,,4.76,2.68,1.65,4.29,6.95,19,36.5,10.33
27,28,26,Otaro Alaka,LB01,ILB,Texas A&M,23.3,6030,239,122.5,0.2,56.8,Alaka,6030,239,33.00,9.75,80.875,4.82,2.76,1.65,4.51,7.03,20,36,10.92
28,29,27,Ryan Guthrie,,ILB,Syracuse,,6015,227,121.7,0.1,54.3,Guthrie,6015,227,,,,4.77,2.76,1.60,4.22,6.96,21,34,10.25
29,30,28,Germaine Pratt,LB33,OLB,North Carolina State,,6024,240,121.5,0.1,53.0,Pratt,6024,240,31.63,9.13,75.375,4.57,2.65,1.60,,,24,32.5,9.67
30,31,29,Connor Strachan,,ILB,Boston College,,5117,230,120.5,0.0,50.3,Strachan,5117,230,,,,4.78,2.69,1.64,4.20,6.96,25,36,9.75
31,32,30,Jordan Jones,LB26,OLB,Kentucky,22.8,6016,234,118.2,-0.2,43.5,Jones,6016,234,31.75,9.00,76.125,4.62,2.72,1.64,4.37,,23,32.5,10.25
32,33,31,Kevin Bletzer,,OLB,Boston College,,6012,230,118.2,-0.2,43.4,Bletzer,6012,230,,,,4.70,2.65,1.61,4.28,6.79,18,31.5,10
33,34,32,Gary Johnson,LB25,OLB,Texas,23.1,5117,226,117.6,-0.2,41.8,Johnson,5117,226,31.25,10.25,76,4.43,2.63,1.60,4.57,7.15,16,33.5,10.08
34,35,33,Delshawn Phillips,,ILB,Illinois,,6004,225,117.3,-0.3,39.9,Phillips,6004,225,,,,4.61,2.70,1.68,4.52,7.11,20,37,10.08
35,36,34,Kevin Prosser,,OLB,Wyoming,,6010,220,116.3,-0.3,38.1,Prosser,6010,220,,,,4.58,2.68,1.61,4.61,7.50,24,37,10.42
36,37,35,Emeke Egbule,LB16,ILB,Houston,,6020,245,116.1,-0.4,36.1,Egbule,6020,245,33.00,9.25,76.5,4.65,2.69,1.60,4.38,7.38,20,33,9.92
37,38,36,Anthony Wheeler,,ILB,Texas,,6016,235,115.4,-0.4,33.7,Wheeler,6016,235,,,,4.87,2.77,1.65,4.46,6.89,29,34.5,10
38,39,37,Michael Shaw,,OLB,Georgia State,,6032,230,114.1,-0.5,32.2,Shaw,6032,230,,,,4.75,2.65,1.58,4.44,7.42,20,32.5,10.58
39,40,38,Mack Wilson,LB42,ILB,Alabama,21.5,6011,240,114.3,-0.5,30.5,Wilson,6011,240,32.38,9.25,75.875,4.71,2.78,1.63,4.50,7.20,,33,10.08
40,41,39,Tyrel Dodson,LB14,OLB,Texas A&M,21.2,6003,237,113.1,-0.5,29.8,Dodson,6003,237,31.75,9.13,75.75,4.60,2.68,1.61,4.50,7.59,24,35,9.83
41,42,40,Kielan Whitner,,OLB,Syracuse,,6001,225,112.6,-0.6,28.5,Whitner,6001,225,,,,4.74,2.63,1.61,4.39,,23,33.5,10
42,43,41,Eric Assuoa,,OLB,Western Michigan,,6014,231,112.0,-0.6,27.0,Assuoa,6014,231,,,,4.69,2.68,1.60,4.27,7.07,17,30.5,9.75
43,44,42,Gunnar Scholato,,ILB,Austin Peay,,6015,233,111.7,-0.7,23.4,Scholato,6015,233,,,,4.64,2.63,1.59,4.44,7.23,25,32.5,9.5
44,45,43,EJ Speed,,OLB,Tarleton State,,6030,227,110.3,-0.7,23.0,Speed,6030,227,,,,4.64,2.66,1.58,4.39,6.95,24,27.5,9.83
45,46,44,Bailey Laolagi,,OLB,UNLV,,6004,222,108.6,-0.9,19.5,Laolagi,6004,222,,,,4.63,2.68,1.61,4.31,6.82,19,31.5,9
46,47,45,Landis Durham,,OLB,Texas A&M,,6017,249,107.1,-1.0,16.7,Durham,6017,249,,,,4.85,2.77,1.70,4.43,7.38,17,35,9.75
47,48,46,Dre Greenlaw,LB18,OLB,Arkansas,22.3,5114,231,107.0,-1.0,16.4,Greenlaw,5114,231,32.25,9.88,77.5,4.73,2.68,1.65,4.56,7.21,24,33,9.75
48,49,47,Yurik Bethune,,OLB,Alabama A&M,,6020,233,106.8,-1.0,16.1,Bethune,6020,233,,,,4.95,2.88,1.75,4.42,7.21,15,36,10.33
49,50,48,Demetrius Kemp,,OLB,Wake Forest,,6000,224,106.7,-1.0,16.0,Kemp,6000,224,,,,4.73,2.69,1.63,4.46,7.12,22,31.5,9.75
50,51,49,Clifford Clark,,OLB,West Liberty,,6040,235,105.9,-1.1,14.6,Clark,6040,235,,,,4.79,2.72,1.63,4.51,7.28,16,33.5,9.75
51,52,50,Vincent Ellis,,OLB,Notre Dame (OH),,6006,222,105.0,-1.1,13.2,Ellis,6006,222,,,,4.78,2.70,1.70,4.43,7.27,33,31,10
52,53,51,Jerry Powe,,OLB,Lafayette,,6014,225,104.7,-1.1,12.7,Powe,6014,225,,,,4.78,2.69,1.56,4.51,7.13,,,9.42
53,54,52,Pat Jasinski,,ILB,Central Florida,,6012,228,106.4,-1.2,12.2,Jasinski,6012,228,,,,4.87,2.76,1.63,4.34,7.02,27,30.5,9.67
54,55,53,Randy Ramsey,,OLB,Arkansas,,6031,238,103.5,-1.2,10.9,Ramsey,6031,238,,,,,2.72,1.61,4.59,7.33,24,30,9.42
55,56,54,Koron Crump,,OLB,Arizona State,,6022,215,103.4,-1.2,10.8,Crump,6022,215,,,,4.60,2.66,1.67,4.36,7.41,18,30,9.92
56,57,55,Jordan Kunaszyk,,ILB,California,,6030,234,104.8,-1.3,9.8,Kunaszyk,6030,234,,,,4.81,2.76,1.64,4.32,7.41,16,33,9.58
57,58,56,Colton Lindsey,,ILB,Central Oklahoma,,6025,226,104.3,-1.3,9.1,Lindsey,6025,226,,,,4.69,2.64,1.63,4.51,7.55,18,32,10.08
58,59,57,Jamey Mosley,,OLB,Alabama,,6050,241,101.5,-1.4,8.4,Mosley,6050,241,,,,4.85,2.78,1.65,4.50,7.44,16,32,9.83
59,60,58,Tyler Taafe,,ILB,Toledo,,6003,228,103.3,-1.4,7.8,Taafe,6003,228,,,,4.88,2.83,1.68,4.30,7.06,26,30.5,9.58
60,61,59,Zachery Harris,,OLB,Tulane,,5110,218,100.8,-1.4,7.7,Harris,5110,218,,,,4.78,2.83,1.71,4.33,7.34,10,33.5,9.75
61,62,60,Jeff Allison,LB05,ILB,Fresno State,,5117,228,103.2,-1.4,7.6,Allison,5117,228,32.25,10.00,78.375,4.82,2.81,1.67,4.44,7.20,14,34,9.58
62,63,61,Jerry Iweh,,OLB,Fairmont State,,6034,234,100.6,-1.4,7.5,Iweh,6034,234,,,,4.79,2.78,1.67,4.58,7.34,19,33.5,9.5
63,64,62,Tre Lamar,LB29,ILB,Clemson,,6037,253,102.9,-1.4,7.4,Lamar,6037,253,32.25,9.50,77.625,5.01,2.90,1.73,4.54,7.46,,34.5,10.08
64,65,63,Tre Thomas,,ILB,Colorado State,,6012,223,102.6,-1.5,7.0,Thomas,6012,223,,,,4.79,2.84,1.70,4.44,7.57,25,34.5,9.83
65,66,64,Josh Smith,,OLB,Vanderbilt,,6027,242,99.8,-1.5,6.7,Smith,6027,242,,,,4.96,2.78,1.64,4.63,7.25,,33,9.58
66,67,65,Darian Yancey,,ILB,Southern Miss,,6005,230,102.0,-1.5,6.3,Yancey,6005,230,,,,4.88,2.75,1.70,4.49,7.17,16,34,9.75
67,68,66,Cardell Rawlings,,OLB,Wingate,,5114,234,98.4,-1.6,5.5,Rawlings,5114,234,,,,4.82,2.74,1.69,4.40,7.21,22,30,9.33
68,69,67,Kyle Rachwal,,OLB,Eastern Michigan,,6014,233,98.1,-1.6,5.2,Rachwal,6014,233,,,,4.86,2.81,1.69,4.37,7.38,23,30.5,9.5
69,70,68,Richard Olekanma,,ILB,Toledo,,6014,240,100.6,-1.6,5.0,Olekanma,6014,240,,,,4.75,2.81,1.66,4.60,7.24,19,33,9.17
70,71,69,Juwan Foggie,,OLB,Charlotte,,6003,235,97.5,-1.7,4.8,Foggie,6003,235,,,,4.77,2.80,1.70,4.65,7.32,19,31.5,9.67
71,72,70,George Helmuth,,OLB,Fresno State,,6000,216,97.5,-1.7,4.8,Helmuth,6000,216,,,,4.83,2.85,1.70,4.34,7.06,19,31.5,9.25
72,73,71,T.J. Edwards,LB15,ILB,Wisconsin,23.1,6003,230,100.2,-1.7,4.6,Edwards,6003,230,31.25,9.38,75.125,4.87,2.75,1.74,4.28,7.06,16,32.5,9.33
73,74,72,Joe Martin,,OLB,Idaho State,,5117,217,97.2,-1.7,4.6,Martin,5117,217,,,,4.66,,1.70,4.57,7.70,25,33.5,9.58
74,75,73,Deshaun Davis,LB13,ILB,Auburn,22.4,5113,234,99.8,-1.7,4.3,Davis,5113,234,31.25,10.00,75.875,4.77,2.78,1.71,4.37,7.32,25,31,9.25
75,76,74,Masai Whyte,,OLB,Western Kentucky,,5116,218,96.6,-1.7,4.2,Whyte,5116,218,,,,4.76,2.75,1.65,4.57,7.41,16,32.5,9.58
76,77,75,Solomon Brown,,OLB,Charleston Southern,,6001,229,96.3,-1.7,4.0,Brown,6001,229,,,,5.05,2.81,1.67,4.46,7.52,23,34.5,9.58
77,78,76,Joe Giles-Harris,LB17,ILB,Duke,22.4,6016,233,99.2,-1.8,3.9,Giles-Harris,6016,233,31.25,8.50,75.375,4.75,2.79,1.68,4.40,7.09,17,29.5,9.25
78,79,77,Jeremy Sangster,,ILB,Southern Miss,,5112,228,97.1,-1.9,2.6,Sangster,5112,228,,,,4.81,2.78,1.66,4.59,7.34,20,32,9.5
79,80,78,Charles Wright,,OLB,Vanderbilt,,6026,239,93.7,-1.9,2.6,Wright,6026,239,,,,4.92,2.71,1.70,4.50,7.15,22,30,9.17
80,81,79,Kolin Hill,,OLB,Texas Tech,,6016,235,92.5,-2.0,2.1,Hill,6016,235,,,,4.90,2.82,1.67,4.65,7.64,22,31,9.83
81,82,80,Natrez Patrick,,ILB,Georgia,,6024,244,95.1,-2.1,1.8,Patrick,6024,244,,,,4.97,2.85,1.74,4.56,7.19,15,31,9.83
82,83,81,Darrell Williams,,ILB,Auburn,,6020,219,94.3,-2.2,1.5,Williams,6020,219,,,,4.88,2.88,1.71,4.37,7.19,,29.5,9.5
83,84,82,Montavious Atkinson,,OLB,Auburn,,6006,222,88.8,-2.3,1.1,Atkinson,6006,222,,,,4.88,2.88,1.75,4.55,7.08,,29,9.25
84,85,83,J.D. Davis,,ILB,Clemson,,6013,229,91.9,-2.4,0.9,Davis,6013,229,,,,4.89,2.77,1.67,4.71,7.21,,29,9.58
85,86,84,Kenney Wooten,,OLB,Murray State,,6001,248,87.5,-2.4,0.9,Wooten,6001,248,,,,5.03,2.76,1.58,4.74,7.53,19,27.5,9.42
86,87,85,Brian Bell,,ILB,Akron,,6020,237,90.2,-2.5,0.6,Bell,6020,237,,,,4.83,2.78,1.66,4.69,7.43,17,31,9.08
87,88,86,BJ Blunt,,OLB,McNeese State,,6002,220,85.3,-2.5,0.5,Blunt,6002,220,,,,4.73,2.82,1.70,4.87,7.56,16,31.5,9
88,89,87,Khalil Hodge,,ILB,Buffalo,,6013,234,88.7,-2.6,0.4,Hodge,6013,234,,,,5.05,2.82,1.67,4.40,7.21,16,29,9.08
89,90,88,Brandon Harris,,OLB,Bowling Green,,6013,226,84.1,-2.6,0.4,Harris,6013,226,,,,4.89,2.79,1.61,4.56,7.35,16,27.5,8.83
90,91,89,Warren Messer,,ILB,Elon,,5110,221,87.5,-2.7,0.3,Messer,5110,221,,,,4.84,2.85,1.84,4.56,7.27,14,32.5,9.08
91,92,90,Judah Davis,,ILB,Clemson,,6016,242,86.1,-2.8,0.2,Davis,6016,242,,,,4.93,2.76,1.71,4.57,7.40,26,27.5,9.08
92,93,91,Hezekiah White,,OLB,Nicholls State,,5103,213,80.5,-2.9,0.2,White,5103,213,,,,4.82,2.80,1.70,4.58,7.62,14,33,8.42
93,94,92,Chris Woolbright,,ILB,UAB,,6021,241,84.2,-3.0,0.1,Woolbright,6021,241,,,,4.98,2.87,1.76,4.53,7.52,16,30.5,9.08
94,95,93,Tavon Lawson,,OLB,Chattanooga,,5113,211,78.8,-3.0,0.1,Lawson,5113,211,,,,4.91,2.91,1.70,4.70,7.51,5,32,9
95,96,94,Hunter Reese,,OLB,Troy,,6012,221,77.7,-3.1,0.1,Reese,6012,221,,,,5.05,2.95,1.76,4.62,7.32,14,30,8.92
96,97,95,Chris Ferdinand,,OLB,Mars Hill,,6007,213,77.6,-3.1,0.1,Ferdinand,6007,213,,,,5.00,2.91,1.76,,,14,28.5,9.17
97,98,96,Malik Fountain,,ILB,Central Michigan,,6007,227,81.9,-3.2,0.1,Fountain,6007,227,,,,4.91,2.83,1.75,4.49,7.48,18,27,9.25
98,99,97,Juwan Taylor,,OLB,Georgia,,6003,221,72.9,-3.4,0.0,Taylor,6003,221,,,,4.95,2.85,1.76,4.52,7.36,18,26,
99,100,98,Kendall Joseph,LB27,ILB,Clemson,23.8,5115,233,78.5,-3.5,0.0,Joseph,5115,233,31.63,9.75,75,5.05,2.87,1.75,4.47,7.63,25,26.5,9.08
100,101,99,Craig Kanyangarara,,OLB,UAB,,5113,223,69.1,-3.7,0.0,Kanyangarara,5113,223,,,,5.17,1.89,1.75,4.68,7.71,21,27.5,8.67
101,102,100,JeKevin Carter,,ILB,Arkansas-Pine Bluff,,5106,227,74.2,-3.8,0.0,Carter,5106,227,,,,4.99,2.95,1.75,4.73,7.83,10,30,9
102,103,101,Jalen Williams,,OLB,Clemson,,5095,214,67.3,-3.8,0.0,Williams,5095,214,,,,5.09,2.88,1.75,4.84,7.87,,26.5,8.83
103,104,102,Kenny Dotson,,OLB,Nicholls State,,6033,252,66.7,-3.9,0.0,Dotson,6033,252,,,,5.15,2.95,1.79,4.73,7.62,7,26.5,8.25
104,105,103,Rick Gamboa,,ILB,Colorado,,5111,231,69.2,-4.2,0.0,Gamboa,5111,231,,,,5.20,3.06,1.85,4.72,7.69,18,28,8.75
105,106,104,Azeez Al-Shaair,LB06,ILB,Florida Atlantic,22.1,6006,225,,,,Al-Shaair,6006,225,32.38,9.50,78.125,,,,,,16,,
106,107,105,Bryson Allen-Williams,LB04,OLB,South Carolina,22.9,6005,236,,,,Allen-Williams,6005,236,31.50,9.75,77.625,4.88,2.86,1.69,,7.40,14,,
107,108,106,Chase Hansen,LB23,OLB,Utah,26.3,6027,222,,,,Hansen,6027,222,30.50,9.38,74.125,,,,,,,,
108,109,107,Christian Miller,LB31,OLB,Alabama,23.2,6033,247,,,,Miller,6033,247,35.13,9.75,82.25,,,,4.49,7.43,18,38.5,9.83
109,110,108,D'Andre Walker,LB40,OLB,Georgia,22.6,6023,251,,,,Walker,6023,251,34.38,9.88,81.75,,,,,,,,
110,111,109,David Long,LB30,ILB,West Virginia,21.6,5112,227,,,,Long,5112,227,30.75,10.00,75.5,,,,,,18,,
111,112,110,Jahlani Tavai,LB37,ILB,Hawaii,,6023,250,,,,Tavai,6023,250,31.88,9.00,78,,,,,,,,
112,113,111,Nate Hall,LB20,OLB,Northwestern,,6022,225,,,,Hall,6022,225,32.25,9.38,77.5,,,,,,,,
113,114,112,Porter Gustin,LB19,OLB,Southern Cal,22.3,6044,255,,,,Gustin,6044,255,33.00,10.00,78.5,,,,,,,,
114,115,113,Te'Von Coney,LB11,ILB,Notre Dame,22.2,6007,234,,,,Coney,6007,234,32.88,9.50,78.25,,,,,,,,
115,116,114,Terez Hall,LB21,OLB,Missouri,22.3,6011,230,,,,Hall,6011,230,33.50,10.38,80.375,,,,,,20,,
116,117,115,Terrill Hanks,LB22,OLB,New Mexico State,23.7,6020,242,,,,Hanks,6020,242,33.50,9.75,80.125,,2.88,1.71,,,21,35.5,9.83
117,118,116,Vosean Joseph,LB28,OLB,Florida,21.7,6014,230,,,,Joseph,6014,230,31.38,9.63,75.375,,,,,,,,
